"Date_Time","Low_Range","Full_Range","Temp_C","station"
2023-05-26 01:01:50,101.4,102.5,18.73,3
2023-05-26 01:01:55,101.4,102.5,18.73,3
2023-05-26 01:02:00,101.4,102.5,18.73,3
2023-05-26 01:02:05,101.4,102.5,18.73,3
2023-05-26 01:02:10,101.5,102.5,18.73,3
2023-05-26 01:02:15,101.4,102.5,18.73,3
2023-05-26 01:02:20,101.4,102.5,18.72,3
2023-05-26 01:02:25,101.4,102.5,18.73,3
2023-05-26 01:02:30,101.4,102.5,18.73,3
2023-05-26 01:02:35,101.4,102.5,18.73,3
2023-05-26 01:02:40,101.4,102.5,18.73,3
2023-05-26 01:02:45,101.4,102.5,18.73,3
2023-05-26 01:02:50,101.4,102.5,18.73,3
2023-05-26 01:02:55,101.4,102.5,18.73,3
2023-05-26 01:03:00,101.4,102.5,18.74,3
2023-05-26 01:03:05,101.4,102.5,18.73,3
2023-05-26 01:03:10,101.4,102.5,18.73,3
2023-05-26 01:03:15,101.4,102.5,18.73,3
2023-05-26 01:03:20,101.4,102.5,18.73,3
2023-05-26 01:03:25,101.4,102.5,18.73,3
2023-05-26 01:03:30,101.4,102.5,18.73,3
2023-05-26 01:03:35,101.4,102.5,18.73,3
2023-05-26 01:03:40,101.4,102.5,18.72,3
2023-05-26 01:03:45,101.4,102.5,18.73,3
2023-05-26 01:03:50,101.4,102.5,18.73,3
2023-05-26 01:03:55,101.4,102.5,18.72,3
2023-05-26 01:04:00,101.4,102.5,18.72,3
2023-05-26 01:04:05,101.4,102.1,18.72,3
2023-05-26 01:04:10,101.4,102.5,18.73,3
2023-05-26 01:04:15,101.4,102.5,18.73,3
2023-05-26 01:04:20,101.4,102.5,18.72,3
2023-05-26 01:04:25,101.4,102.5,18.72,3
2023-05-26 01:04:30,101.4,102.5,18.72,3
2023-05-26 01:04:35,101.4,102.5,18.73,3
2023-05-26 01:04:40,101.4,102.5,18.73,3
2023-05-26 01:04:45,101.4,102.5,18.72,3
2023-05-26 01:04:50,101.4,102.5,18.72,3
2023-05-26 01:04:55,101.4,102.5,18.73,3
2023-05-26 01:05:00,101.4,102.5,18.72,3
2023-05-26 01:05:05,101.4,102.5,18.73,3
2023-05-26 01:05:10,101.4,102.5,18.72,3
2023-05-26 01:05:15,101.4,102.5,18.73,3
2023-05-26 01:05:20,101.4,102.5,18.72,3
2023-05-26 01:05:25,101.4,102.5,18.72,3
2023-05-26 01:05:30,101.4,102.5,18.72,3
2023-05-26 01:05:35,101.4,102.5,18.72,3
2023-05-26 01:05:40,101.4,102.5,18.72,3
2023-05-26 01:05:45,101.4,102.5,18.72,3
2023-05-26 01:05:50,101.4,102.5,18.72,3
2023-05-26 01:05:55,101.4,102.1,18.73,3
2023-05-26 01:06:00,101.4,102.5,18.72,3
2023-05-26 01:06:05,101.4,102.5,18.73,3
2023-05-26 01:06:10,101.4,102.5,18.72,3
2023-05-26 01:06:15,101.5,102.5,18.73,3
2023-05-26 01:06:20,101.4,102.5,18.72,3
2023-05-26 01:06:25,101.4,102.5,18.72,3
2023-05-26 01:06:30,101.4,102.5,18.73,3
2023-05-26 01:06:35,101.4,102.1,18.72,3
2023-05-26 01:06:40,101.4,102.5,18.72,3
2023-05-26 01:06:45,101.4,102.5,18.72,3
2023-05-26 01:06:50,101.4,102.5,18.7,3
2023-05-26 01:06:55,101.4,102.5,18.72,3
2023-05-26 01:07:00,101.4,102.5,18.72,3
