"Plot Title: mgas_station_3"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10710797, SEN S/N: 10710797)","Full Range, μS/cm (LGR S/N: 10710797, SEN S/N: 10710797)","Temp, °C (LGR S/N: 10710797, SEN S/N: 10710797)","End Of File (LGR S/N: 10710797)"
30,06/14/23 01:32:25 PM,140.3,140.9,24.13,
31,06/14/23 01:32:30 PM,140.3,140.9,24.13,
32,06/14/23 01:32:35 PM,140.3,140.9,24.13,
33,06/14/23 01:32:40 PM,140.4,141.2,24.13,
34,06/14/23 01:32:45 PM,140.3,140.9,24.14,
35,06/14/23 01:32:50 PM,140.4,140.9,24.14,
36,06/14/23 01:32:55 PM,140.4,140.9,24.14,
37,06/14/23 01:33:00 PM,140.4,140.9,24.14,
38,06/14/23 01:33:05 PM,140.4,140.9,24.14,
39,06/14/23 01:33:10 PM,140.4,140.9,24.14,
40,06/14/23 01:33:15 PM,140.3,140.9,24.14,
41,06/14/23 01:33:20 PM,140.3,140.9,24.15,
42,06/14/23 01:33:25 PM,140.4,140.9,24.15,
43,06/14/23 01:33:30 PM,140.4,140.9,24.15,
44,06/14/23 01:33:35 PM,140.4,140.9,24.15,
45,06/14/23 01:33:40 PM,140.4,140.9,24.15,
46,06/14/23 01:33:45 PM,140.3,140.9,24.17,
47,06/14/23 01:33:50 PM,140.4,140.9,24.15,
48,06/14/23 01:33:55 PM,140.4,140.9,24.15,
49,06/14/23 01:34:00 PM,140.4,140.9,24.17,
50,06/14/23 01:34:05 PM,140.4,140.9,24.15,
51,06/14/23 01:34:10 PM,140.4,141.2,24.17,
52,06/14/23 01:34:15 PM,140.4,140.9,24.17,
53,06/14/23 01:34:20 PM,140.4,140.9,24.15,
54,06/14/23 01:34:25 PM,140.4,140.9,24.17,
55,06/14/23 01:34:30 PM,140.4,140.9,24.17,
56,06/14/23 01:34:35 PM,140.4,140.9,24.17,
57,06/14/23 01:34:40 PM,140.4,140.9,24.17,
58,06/14/23 01:34:45 PM,140.4,140.9,24.17,
59,06/14/23 01:34:50 PM,140.4,141.2,24.15,
60,06/14/23 01:34:55 PM,140.4,140.9,24.17,
61,06/14/23 01:35:00 PM,140.4,140.9,24.15,
62,06/14/23 01:35:05 PM,140.4,141.2,24.17,
63,06/14/23 01:35:10 PM,140.4,140.9,24.17,
64,06/14/23 01:35:15 PM,140.4,140.9,24.17,
65,06/14/23 01:35:20 PM,140.4,140.9,24.18,
66,06/14/23 01:35:25 PM,140.5,140.9,24.18,
67,06/14/23 01:35:30 PM,140.4,140.9,24.18,
68,06/14/23 01:35:35 PM,140.4,140.9,24.19,
69,06/14/23 01:35:40 PM,140.4,140.9,24.18,
70,06/14/23 01:35:45 PM,140.4,140.9,24.18,
71,06/14/23 01:35:50 PM,140.4,140.9,24.18,
72,06/14/23 01:35:55 PM,140.5,140.9,24.18,
73,06/14/23 01:36:00 PM,140.6,141.2,24.18,
74,06/14/23 01:36:05 PM,140.4,140.9,24.19,
75,06/14/23 01:36:10 PM,140.4,140.9,24.19,
76,06/14/23 01:36:15 PM,140.4,141.2,24.18,
77,06/14/23 01:36:20 PM,140.4,140.9,24.19,
78,06/14/23 01:36:25 PM,140.4,141.2,24.19,
79,06/14/23 01:36:30 PM,140.4,141.2,24.21,
80,06/14/23 01:36:35 PM,140.5,140.9,24.19,
81,06/14/23 01:36:40 PM,140.5,140.9,24.19,
82,06/14/23 01:36:45 PM,140.4,140.9,24.18,
83,06/14/23 01:36:50 PM,140.4,140.9,24.19,
84,06/14/23 01:36:55 PM,140.5,140.9,24.19,
85,06/14/23 01:37:00 PM,140.6,141.2,24.19,
86,06/14/23 01:37:05 PM,140.5,140.9,24.19,
87,06/14/23 01:37:10 PM,140.5,140.9,24.18,
88,06/14/23 01:37:15 PM,140.4,140.9,24.19,
89,06/14/23 01:37:20 PM,140.5,140.9,24.19,
90,06/14/23 01:37:25 PM,140.5,140.9,24.21,
91,06/14/23 01:37:30 PM,140.5,140.9,24.21,
92,06/14/23 01:37:35 PM,140.5,140.9,24.21,
93,06/14/23 01:37:40 PM,140.6,140.9,24.19,
94,06/14/23 01:37:45 PM,140.4,141.2,24.21,
95,06/14/23 01:37:50 PM,140.6,141.2,24.21,
96,06/14/23 01:37:55 PM,140.5,141.2,24.21,
97,06/14/23 01:38:00 PM,140.5,141.2,24.21,
98,06/14/23 01:38:05 PM,140.6,141.2,24.21,
99,06/14/23 01:38:10 PM,140.6,141.2,24.21,
100,06/14/23 01:38:15 PM,140.6,140.9,24.21,
101,06/14/23 01:38:20 PM,140.5,141.2,24.22,
102,06/14/23 01:38:25 PM,140.6,140.9,24.22,
103,06/14/23 01:38:30 PM,140.7,140.9,24.22,
104,06/14/23 01:38:35 PM,140.5,141.2,24.22,
105,06/14/23 01:38:40 PM,140.6,140.8,24.23,
106,06/14/23 01:38:45 PM,140.6,140.9,24.22,
107,06/14/23 01:38:50 PM,140.6,140.9,24.22,
108,06/14/23 01:38:55 PM,140.7,141.2,24.22,
109,06/14/23 01:39:00 PM,140.6,140.9,24.22,
110,06/14/23 01:39:05 PM,140.6,141.2,24.22,
111,06/14/23 01:39:10 PM,140.5,141.2,24.23,
112,06/14/23 01:39:15 PM,140.7,141.2,24.22,
113,06/14/23 01:39:20 PM,140.6,141.2,24.22,
114,06/14/23 01:39:25 PM,140.6,140.9,24.22,
115,06/14/23 01:39:30 PM,140.6,141.2,24.22,
116,06/14/23 01:39:35 PM,140.7,140.9,24.22,
117,06/14/23 01:39:40 PM,140.7,141.2,24.23,
118,06/14/23 01:39:45 PM,140.7,140.8,24.23,
119,06/14/23 01:39:50 PM,140.7,141.2,24.23,
120,06/14/23 01:39:55 PM,140.6,141.2,24.23,
121,06/14/23 01:40:00 PM,140.6,140.8,24.23,
122,06/14/23 01:40:05 PM,140.7,141.2,24.23,
123,06/14/23 01:40:10 PM,140.7,140.8,24.23,
124,06/14/23 01:40:15 PM,140.6,141.2,24.23,
125,06/14/23 01:40:20 PM,140.7,140.8,24.23,
126,06/14/23 01:40:25 PM,140.7,141.2,24.25,
127,06/14/23 01:40:30 PM,140.7,141.2,24.23,
128,06/14/23 01:40:35 PM,140.7,140.8,24.25,
129,06/14/23 01:40:40 PM,140.7,141.2,24.25,
130,06/14/23 01:40:45 PM,140.7,141.2,24.25,
131,06/14/23 01:40:50 PM,140.6,140.8,24.23,
132,06/14/23 01:40:55 PM,140.6,141.2,24.23,
133,06/14/23 01:41:00 PM,140.7,141.2,24.25,
134,06/14/23 01:41:05 PM,140.7,141.2,24.25,
135,06/14/23 01:41:10 PM,140.7,140.8,24.25,
136,06/14/23 01:41:15 PM,140.7,141.2,24.25,
137,06/14/23 01:41:20 PM,140.7,141.2,24.23,
138,06/14/23 01:41:25 PM,140.7,140.8,24.25,
139,06/14/23 01:41:30 PM,140.7,141.2,24.26,
140,06/14/23 01:41:35 PM,140.7,141.2,24.26,
141,06/14/23 01:41:40 PM,140.7,141.2,24.25,
142,06/14/23 01:41:45 PM,140.7,140.8,24.26,
143,06/14/23 01:41:50 PM,140.7,141.2,24.25,
144,06/14/23 01:41:55 PM,140.7,141.2,24.26,
145,06/14/23 01:42:00 PM,140.7,141.2,24.26,
146,06/14/23 01:42:05 PM,140.7,140.8,24.25,
147,06/14/23 01:42:10 PM,140.7,140.8,24.26,
148,06/14/23 01:42:15 PM,140.7,141.2,24.26,
149,06/14/23 01:42:20 PM,140.7,141.2,24.26,
150,06/14/23 01:42:25 PM,140.7,141.2,24.26,
151,06/14/23 01:42:30 PM,140.7,140.8,24.25,
152,06/14/23 01:42:35 PM,140.7,141.2,24.26,
153,06/14/23 01:42:40 PM,140.8,140.8,24.25,
154,06/14/23 01:42:45 PM,140.9,141.2,24.26,
155,06/14/23 01:42:50 PM,141.5,142.0,24.25,
156,06/14/23 01:42:55 PM,141.3,142.0,24.26,
157,06/14/23 01:43:00 PM,142.0,142.4,24.26,
158,06/14/23 01:43:05 PM,141.9,142.4,24.26,
159,06/14/23 01:43:10 PM,142.5,143.2,24.26,
160,06/14/23 01:43:15 PM,143.5,143.9,24.26,
161,06/14/23 01:43:20 PM,144.8,145.5,24.26,
162,06/14/23 01:43:25 PM,146.6,147.4,24.26,
163,06/14/23 01:43:30 PM,148.9,149.7,24.27,
164,06/14/23 01:43:35 PM,149.8,150.5,24.27,
165,06/14/23 01:43:40 PM,149.0,149.7,24.28,
166,06/14/23 01:43:45 PM,149.3,150.1,24.30,
167,06/14/23 01:43:50 PM,149.0,150.1,24.31,
168,06/14/23 01:43:55 PM,161.3,162.4,24.28,
169,06/14/23 01:44:00 PM,165.7,166.6,24.28,
170,06/14/23 01:44:05 PM,166.4,167.4,24.28,
171,06/14/23 01:44:10 PM,171.3,172.8,24.27,
172,06/14/23 01:44:15 PM,163.1,164.3,24.28,
173,06/14/23 01:44:20 PM,166.4,167.4,24.28,
174,06/14/23 01:44:25 PM,168.5,169.7,24.30,
175,06/14/23 01:44:30 PM,166.4,167.4,24.30,
176,06/14/23 01:44:35 PM,186.2,188.2,24.27,
177,06/14/23 01:44:40 PM,185.2,187.1,24.27,
178,06/14/23 01:44:45 PM,191.5,193.6,24.28,
179,06/14/23 01:44:50 PM,192.8,194.8,24.27,
180,06/14/23 01:44:55 PM,191.5,193.2,24.28,
181,06/14/23 01:45:00 PM,189.8,191.7,24.28,
182,06/14/23 01:45:05 PM,199.6,201.4,24.27,
183,06/14/23 01:45:10 PM,193.0,194.8,24.28,
184,06/14/23 01:45:15 PM,200.9,202.9,24.28,
185,06/14/23 01:45:20 PM,196.3,198.7,24.28,
186,06/14/23 01:45:25 PM,197.3,199.8,24.28,
187,06/14/23 01:45:30 PM,210.9,213.0,24.25,
188,06/14/23 01:45:35 PM,201.3,203.7,24.27,
189,06/14/23 01:45:40 PM,202.5,204.4,24.27,
190,06/14/23 01:45:45 PM,204.1,206.4,24.27,
191,06/14/23 01:45:50 PM,204.4,206.4,24.26,
192,06/14/23 01:45:55 PM,205.1,207.5,24.26,
193,06/14/23 01:46:00 PM,204.8,207.5,24.26,
194,06/14/23 01:46:05 PM,203.6,205.6,24.26,
195,06/14/23 01:46:10 PM,202.9,204.8,24.27,
196,06/14/23 01:46:15 PM,203.8,206.4,24.26,
197,06/14/23 01:46:20 PM,203.4,205.6,24.27,
198,06/14/23 01:46:25 PM,202.9,205.2,24.26,
199,06/14/23 01:46:30 PM,202.9,205.2,24.27,
200,06/14/23 01:46:35 PM,203.0,205.2,24.27,
201,06/14/23 01:46:40 PM,202.0,204.1,24.26,
202,06/14/23 01:46:45 PM,200.6,202.5,24.26,
203,06/14/23 01:46:50 PM,200.8,202.9,24.27,
204,06/14/23 01:46:55 PM,200.5,202.5,24.28,
205,06/14/23 01:47:00 PM,201.2,202.9,24.28,
206,06/14/23 01:47:05 PM,198.9,201.0,24.27,
207,06/14/23 01:47:10 PM,198.4,200.6,24.26,
208,06/14/23 01:47:15 PM,197.5,199.8,24.26,
209,06/14/23 01:47:20 PM,196.6,198.7,24.26,
210,06/14/23 01:47:25 PM,195.9,197.9,24.26,
211,06/14/23 01:47:30 PM,196.7,198.7,24.27,
212,06/14/23 01:47:35 PM,196.5,198.7,24.27,
213,06/14/23 01:47:40 PM,194.9,197.1,24.26,
214,06/14/23 01:47:45 PM,196.2,198.3,24.27,
215,06/14/23 01:47:50 PM,195.3,197.1,24.27,
216,06/14/23 01:47:55 PM,189.1,190.9,24.26,
217,06/14/23 01:48:00 PM,190.2,191.7,24.26,
218,06/14/23 01:48:05 PM,187.8,189.8,24.26,
219,06/14/23 01:48:10 PM,188.7,190.5,24.26,
220,06/14/23 01:48:15 PM,186.8,188.2,24.26,
221,06/14/23 01:48:20 PM,188.1,189.8,24.26,
222,06/14/23 01:48:25 PM,187.1,188.6,24.26,
223,06/14/23 01:48:30 PM,187.1,188.6,24.27,
224,06/14/23 01:48:35 PM,189.1,190.9,24.28,
225,06/14/23 01:48:40 PM,187.2,188.6,24.27,
226,06/14/23 01:48:45 PM,185.1,186.7,24.27,
227,06/14/23 01:48:50 PM,184.5,186.3,24.27,
228,06/14/23 01:48:55 PM,183.1,184.8,24.27,
229,06/14/23 01:49:00 PM,183.1,184.8,24.27,
230,06/14/23 01:49:05 PM,180.1,181.7,24.26,
231,06/14/23 01:49:10 PM,180.6,182.1,24.27,
232,06/14/23 01:49:15 PM,180.4,181.7,24.28,
233,06/14/23 01:49:20 PM,181.7,183.2,24.28,
234,06/14/23 01:49:25 PM,182.1,184.0,24.30,
235,06/14/23 01:49:30 PM,179.9,181.3,24.30,
236,06/14/23 01:49:35 PM,178.8,180.5,24.30,
237,06/14/23 01:49:40 PM,179.3,180.9,24.30,
238,06/14/23 01:49:45 PM,176.2,177.4,24.28,
239,06/14/23 01:49:50 PM,174.1,175.5,24.28,
240,06/14/23 01:49:55 PM,177.9,179.0,24.28,
241,06/14/23 01:50:00 PM,176.6,177.8,24.30,
242,06/14/23 01:50:05 PM,174.1,175.5,24.30,
243,06/14/23 01:50:10 PM,174.8,176.3,24.30,
244,06/14/23 01:50:15 PM,175.2,176.6,24.31,
245,06/14/23 01:50:20 PM,171.8,173.2,24.30,
246,06/14/23 01:50:25 PM,170.8,172.4,24.30,
247,06/14/23 01:50:30 PM,172.6,173.6,24.31,
248,06/14/23 01:50:35 PM,170.8,172.4,24.31,
249,06/14/23 01:50:40 PM,172.1,173.6,24.32,
250,06/14/23 01:50:45 PM,170.9,172.4,24.31,
251,06/14/23 01:50:50 PM,172.0,173.2,24.32,
252,06/14/23 01:50:55 PM,169.1,170.5,24.32,
253,06/14/23 01:51:00 PM,170.8,172.4,24.32,
254,06/14/23 01:51:05 PM,170.8,172.4,24.34,
255,06/14/23 01:51:10 PM,169.4,170.9,24.34,
256,06/14/23 01:51:15 PM,169.7,171.2,24.34,
257,06/14/23 01:51:20 PM,167.8,169.3,24.32,
258,06/14/23 01:51:25 PM,168.2,169.3,24.34,
259,06/14/23 01:51:30 PM,165.9,167.0,24.32,
260,06/14/23 01:51:35 PM,166.3,167.8,24.34,
261,06/14/23 01:51:40 PM,166.0,167.0,24.34,
262,06/14/23 01:51:45 PM,166.8,168.2,24.34,
263,06/14/23 01:51:50 PM,166.6,168.2,24.34,
264,06/14/23 01:51:55 PM,163.0,163.9,24.32,
265,06/14/23 01:52:00 PM,164.5,165.8,24.34,
266,06/14/23 01:52:05 PM,162.4,163.5,24.34,
267,06/14/23 01:52:10 PM,162.9,164.3,24.34,
268,06/14/23 01:52:15 PM,163.9,165.1,24.34,
269,06/14/23 01:52:20 PM,163.2,164.3,24.34,
270,06/14/23 01:52:25 PM,163.7,164.7,24.34,
271,06/14/23 01:52:30 PM,161.3,162.4,24.34,
272,06/14/23 01:52:35 PM,160.3,161.2,24.34,
273,06/14/23 01:52:40 PM,157.7,158.5,24.32,
274,06/14/23 01:52:45 PM,159.9,160.8,24.34,
275,06/14/23 01:52:50 PM,160.7,161.6,24.34,
276,06/14/23 01:52:55 PM,159.5,160.5,24.34,
277,06/14/23 01:53:00 PM,158.2,158.9,24.34,
278,06/14/23 01:53:05 PM,158.3,158.9,24.34,
279,06/14/23 01:53:10 PM,157.7,158.5,24.34,
280,06/14/23 01:53:15 PM,158.1,158.9,24.36,
281,06/14/23 01:53:20 PM,156.9,157.8,24.34,
282,06/14/23 01:53:25 PM,157.7,158.5,24.34,
283,06/14/23 01:53:30 PM,155.7,156.6,24.32,
284,06/14/23 01:53:35 PM,154.5,155.5,24.34,
285,06/14/23 01:53:40 PM,152.9,153.5,24.31,
286,06/14/23 01:53:45 PM,154.8,155.5,24.32,
287,06/14/23 01:53:50 PM,153.9,154.7,24.32,
288,06/14/23 01:53:55 PM,153.7,154.3,24.32,
289,06/14/23 01:54:00 PM,154.1,154.7,24.32,
290,06/14/23 01:54:05 PM,153.5,154.3,24.32,
291,06/14/23 01:54:10 PM,153.8,154.3,24.32,
292,06/14/23 01:54:15 PM,153.9,154.3,24.31,
293,06/14/23 01:54:20 PM,154.7,155.5,24.32,
294,06/14/23 01:54:25 PM,154.4,155.1,24.32,
295,06/14/23 01:54:30 PM,154.6,155.1,24.32,
296,06/14/23 01:54:35 PM,154.5,155.5,24.32,
297,06/14/23 01:54:40 PM,154.3,155.1,24.32,
298,06/14/23 01:54:45 PM,153.5,154.3,24.32,
299,06/14/23 01:54:50 PM,153.5,154.3,24.32,
300,06/14/23 01:54:55 PM,151.4,152.4,24.30,
301,06/14/23 01:55:00 PM,149.9,150.5,24.30,
302,06/14/23 01:55:05 PM,151.0,151.6,24.31,
303,06/14/23 01:55:10 PM,149.2,150.1,24.28,
304,06/14/23 01:55:15 PM,151.4,152.0,24.30,
305,06/14/23 01:55:20 PM,150.6,151.2,24.30,
306,06/14/23 01:55:25 PM,150.0,150.8,24.28,
307,06/14/23 01:55:30 PM,149.8,150.5,24.28,
308,06/14/23 01:55:35 PM,149.6,150.5,24.30,
309,06/14/23 01:55:40 PM,149.1,150.1,24.28,
310,06/14/23 01:55:45 PM,150.1,150.8,24.30,
311,06/14/23 01:55:50 PM,149.5,150.5,24.28,
312,06/14/23 01:55:55 PM,149.7,150.5,24.30,
313,06/14/23 01:56:00 PM,149.6,150.1,24.28,
314,06/14/23 01:56:05 PM,149.4,150.5,24.30,
315,06/14/23 01:56:10 PM,149.3,150.1,24.28,
316,06/14/23 01:56:15 PM,149.0,150.1,24.28,
317,06/14/23 01:56:20 PM,149.6,150.5,24.28,
318,06/14/23 01:56:25 PM,148.7,149.7,24.27,
319,06/14/23 01:56:30 PM,148.0,148.9,24.27,
320,06/14/23 01:56:35 PM,147.9,148.5,24.27,
321,06/14/23 01:56:40 PM,147.8,148.9,24.27,
322,06/14/23 01:56:45 PM,147.7,148.5,24.26,
323,06/14/23 01:56:50 PM,147.4,148.2,24.27,
324,06/14/23 01:56:55 PM,147.4,148.2,24.27,
325,06/14/23 01:57:00 PM,147.1,147.4,24.26,
326,06/14/23 01:57:05 PM,145.7,146.2,24.23,
327,06/14/23 01:57:10 PM,145.8,146.2,24.25,
328,06/14/23 01:57:15 PM,146.2,146.6,24.25,
329,06/14/23 01:57:20 PM,146.0,146.6,24.23,
330,06/14/23 01:57:25 PM,146.5,147.0,24.23,
331,06/14/23 01:57:30 PM,146.6,147.4,24.25,
332,06/14/23 01:57:35 PM,146.6,147.4,24.25,
333,06/14/23 01:57:40 PM,146.4,146.6,24.23,
334,06/14/23 01:57:45 PM,145.1,145.9,24.22,
335,06/14/23 01:57:50 PM,145.2,145.8,24.23,
336,06/14/23 01:57:55 PM,145.8,146.2,24.23,
337,06/14/23 01:58:00 PM,145.8,146.6,24.23,
338,06/14/23 01:58:05 PM,145.6,146.2,24.25,
339,06/14/23 01:58:10 PM,145.4,145.8,24.23,
340,06/14/23 01:58:15 PM,144.7,145.5,24.22,
341,06/14/23 01:58:20 PM,145.2,145.9,24.22,
342,06/14/23 01:58:25 PM,145.0,145.5,24.22,
343,06/14/23 01:58:30 PM,144.3,144.3,24.21,
344,06/14/23 01:58:35 PM,144.8,145.5,24.22,
345,06/14/23 01:58:40 PM,145.2,145.9,24.22,
346,06/14/23 01:58:45 PM,145.3,145.8,24.23,
347,06/14/23 01:58:50 PM,144.6,145.1,24.21,
348,06/14/23 01:58:55 PM,144.5,145.1,24.21,
349,06/14/23 01:59:00 PM,145.0,145.5,24.22,
350,06/14/23 01:59:05 PM,144.2,144.3,24.21,
351,06/14/23 01:59:10 PM,144.8,145.5,24.22,
352,06/14/23 01:59:15 PM,144.5,145.1,24.22,
353,06/14/23 01:59:20 PM,144.4,145.1,24.22,
354,06/14/23 01:59:25 PM,144.3,144.3,24.22,
355,06/14/23 01:59:30 PM,143.8,144.3,24.21,
356,06/14/23 01:59:35 PM,144.0,144.3,24.21,
357,06/14/23 01:59:40 PM,143.9,144.3,24.19,
358,06/14/23 01:59:45 PM,143.9,144.3,24.22,
359,06/14/23 01:59:50 PM,143.8,144.3,24.22,
360,06/14/23 01:59:55 PM,143.9,144.3,24.21,
361,06/14/23 02:00:00 PM,143.8,144.3,24.22,
362,06/14/23 02:00:05 PM,143.8,144.3,24.22,
363,06/14/23 02:00:10 PM,143.2,143.5,24.21,
364,06/14/23 02:00:15 PM,143.4,143.9,24.22,
365,06/14/23 02:00:20 PM,143.4,143.9,24.22,
366,06/14/23 02:00:25 PM,143.6,143.9,24.22,
367,06/14/23 02:00:30 PM,143.9,143.9,24.22,
368,06/14/23 02:00:35 PM,144.0,144.3,24.23,
369,06/14/23 02:00:40 PM,143.4,143.9,24.21,
370,06/14/23 02:00:45 PM,143.2,143.5,24.21,
371,06/14/23 02:00:50 PM,143.0,143.5,24.22,
372,06/14/23 02:00:55 PM,143.1,143.5,24.21,
373,06/14/23 02:01:00 PM,143.0,143.5,24.21,
374,06/14/23 02:01:05 PM,143.0,143.5,24.22,
375,06/14/23 02:01:10 PM,142.8,143.2,24.21,
376,06/14/23 02:01:15 PM,142.9,143.5,24.22,
377,06/14/23 02:01:20 PM,142.7,143.2,24.21,
378,06/14/23 02:01:25 PM,142.7,143.2,24.21,
379,06/14/23 02:01:30 PM,143.0,143.2,24.21,
380,06/14/23 02:01:35 PM,142.8,143.2,24.22,
381,06/14/23 02:01:40 PM,142.8,143.2,24.22,
382,06/14/23 02:01:45 PM,142.7,143.2,24.22,
383,06/14/23 02:01:50 PM,142.6,143.2,24.22,
384,06/14/23 02:01:55 PM,142.8,143.2,24.22,
385,06/14/23 02:02:00 PM,142.9,143.2,24.23,
386,06/14/23 02:02:05 PM,142.9,143.5,24.23,
387,06/14/23 02:02:10 PM,142.8,143.2,24.23,
388,06/14/23 02:02:15 PM,142.6,143.2,24.22,
389,06/14/23 02:02:20 PM,142.6,142.8,24.23,
390,06/14/23 02:02:25 PM,142.6,143.2,24.22,
391,06/14/23 02:02:30 PM,142.6,143.2,24.23,
392,06/14/23 02:02:35 PM,142.5,143.2,24.23,
393,06/14/23 02:02:40 PM,142.3,142.8,24.23,
394,06/14/23 02:02:45 PM,142.3,142.8,24.23,
395,06/14/23 02:02:50 PM,142.6,143.2,24.23,
396,06/14/23 02:02:55 PM,142.2,142.8,24.23,
397,06/14/23 02:03:00 PM,142.3,142.8,24.23,
398,06/14/23 02:03:05 PM,142.4,142.8,24.25,
399,06/14/23 02:03:10 PM,142.3,142.8,24.25,
400,06/14/23 02:03:15 PM,142.2,142.8,24.23,
401,06/14/23 02:03:20 PM,142.3,142.8,24.23,
402,06/14/23 02:03:25 PM,142.0,142.4,24.23,
403,06/14/23 02:03:30 PM,142.0,142.4,24.25,
404,06/14/23 02:03:35 PM,142.2,142.8,24.26,
405,06/14/23 02:03:40 PM,142.1,142.4,24.26,
406,06/14/23 02:03:45 PM,142.1,142.8,24.26,
407,06/14/23 02:03:50 PM,142.1,142.8,24.26,
408,06/14/23 02:03:55 PM,142.1,142.8,24.26,
409,06/14/23 02:04:00 PM,142.0,142.4,24.26,
410,06/14/23 02:04:05 PM,142.0,142.4,24.26,
411,06/14/23 02:04:10 PM,142.0,142.4,24.26,
412,06/14/23 02:04:15 PM,142.0,142.4,24.27,
413,06/14/23 02:04:20 PM,142.1,142.4,24.27,
414,06/14/23 02:04:25 PM,142.0,142.4,24.27,
415,06/14/23 02:04:30 PM,141.9,142.4,24.27,
416,06/14/23 02:04:35 PM,142.0,142.4,24.27,
417,06/14/23 02:04:40 PM,141.9,142.4,24.28,
418,06/14/23 02:04:45 PM,142.0,142.4,24.27,
419,06/14/23 02:04:50 PM,141.7,142.4,24.27,
420,06/14/23 02:04:55 PM,141.9,142.4,24.27,
421,06/14/23 02:05:00 PM,141.8,142.4,24.27,
422,06/14/23 02:05:05 PM,141.8,142.4,24.28,
423,06/14/23 02:05:10 PM,141.8,142.4,24.28,
424,06/14/23 02:05:15 PM,141.8,142.0,24.30,
425,06/14/23 02:05:20 PM,141.8,142.4,24.28,
426,06/14/23 02:05:25 PM,141.8,142.4,24.28,
427,06/14/23 02:05:30 PM,141.8,142.4,24.30,
428,06/14/23 02:05:35 PM,141.7,142.4,24.28,
429,06/14/23 02:05:40 PM,141.8,142.4,24.28,
430,06/14/23 02:05:45 PM,141.8,142.4,24.30,
431,06/14/23 02:05:50 PM,141.8,142.0,24.30,
432,06/14/23 02:05:55 PM,141.8,142.4,24.30,
433,06/14/23 02:06:00 PM,141.8,142.4,24.30,
434,06/14/23 02:06:05 PM,141.7,142.4,24.30,
435,06/14/23 02:06:10 PM,141.6,142.0,24.30,
436,06/14/23 02:06:15 PM,141.6,142.0,24.31,
437,06/14/23 02:06:20 PM,141.7,142.4,24.31,
438,06/14/23 02:06:25 PM,141.6,142.0,24.31,
439,06/14/23 02:06:30 PM,141.6,142.0,24.31,
440,06/14/23 02:06:35 PM,141.5,142.0,24.31,
441,06/14/23 02:06:40 PM,141.6,142.4,24.32,
442,06/14/23 02:06:45 PM,141.6,142.0,24.32,
443,06/14/23 02:06:50 PM,141.6,142.4,24.32,
444,06/14/23 02:06:55 PM,141.6,142.0,24.31,
445,06/14/23 02:07:00 PM,141.5,142.0,24.32,
446,06/14/23 02:07:05 PM,141.6,142.0,24.32,
447,06/14/23 02:07:10 PM,141.6,142.0,24.32,
448,06/14/23 02:07:15 PM,141.5,142.0,24.32,
449,06/14/23 02:07:20 PM,141.4,142.0,24.32,
450,06/14/23 02:07:25 PM,141.5,142.0,24.32,
451,06/14/23 02:07:30 PM,141.5,142.0,24.34,
452,06/14/23 02:07:35 PM,141.6,142.0,24.34,
453,06/14/23 02:07:40 PM,141.4,142.0,24.34,
454,06/14/23 02:07:45 PM,141.4,142.0,24.32,
455,06/14/23 02:07:50 PM,141.4,142.0,24.34,
456,06/14/23 02:07:55 PM,141.4,142.0,24.32,
