"Date_Time","Low_Range","Full_Range","Temp_C","station"
2023-05-25 12:16:55,123.5,126.9,17.77,5
2023-05-25 12:17:00,123.4,127.3,17.77,5
2023-05-25 12:17:05,123.6,127.3,17.77,5
2023-05-25 12:17:10,123.3,126.5,17.77,5
2023-05-25 12:17:15,123.3,126.9,17.77,5
2023-05-25 12:17:20,123.5,127.3,17.77,5
2023-05-25 12:17:25,123.4,127.3,17.77,5
2023-05-25 12:17:30,123.2,126.9,17.77,5
2023-05-25 12:17:35,123.3,127.3,17.77,5
2023-05-25 12:17:40,123.2,126.5,17.77,5
2023-05-25 12:17:45,123.3,126.5,17.78,5
2023-05-25 12:17:50,123.3,126.9,17.77,5
2023-05-25 12:17:55,123.3,126.9,17.77,5
2023-05-25 12:18:00,123.2,126.9,17.78,5
2023-05-25 12:18:05,123.4,126.9,17.77,5
2023-05-25 12:18:10,123.3,126.5,17.77,5
2023-05-25 12:18:15,123.2,126.5,17.78,5
2023-05-25 12:18:20,123.4,126.9,17.78,5
2023-05-25 12:18:25,123.4,126.9,17.78,5
2023-05-25 12:18:30,123.3,126.9,17.78,5
2023-05-25 12:18:35,123.2,126.5,17.78,5
2023-05-25 12:18:40,123.2,126.9,17.78,5
2023-05-25 12:18:45,123.2,126.9,17.78,5
2023-05-25 12:18:50,123.2,126.9,17.78,5
2023-05-25 12:18:55,123.2,126.5,17.78,5
2023-05-25 12:19:00,123.2,126.5,17.8,5
2023-05-25 12:19:05,123.2,126.5,17.78,5
2023-05-25 12:19:10,123.3,126.5,17.8,5
2023-05-25 12:19:15,123.4,126.9,17.8,5
2023-05-25 12:19:20,123.5,127.3,17.8,5
2023-05-25 12:19:25,123.4,127.3,17.8,5
2023-05-25 12:19:30,123.3,126.5,17.81,5
2023-05-25 12:19:35,123.3,126.9,17.8,5
2023-05-25 12:19:40,123.4,126.9,17.8,5
2023-05-25 12:19:45,123.3,126.5,17.8,5
2023-05-25 12:19:50,123.2,126.5,17.81,5
2023-05-25 12:19:55,123.3,126.9,17.81,5
2023-05-25 12:20:00,123.3,126.5,17.81,5
2023-05-25 12:20:05,123.4,126.5,17.81,5
2023-05-25 12:20:10,123.3,126.9,17.81,5
2023-05-25 12:20:15,123.4,126.9,17.81,5
2023-05-25 12:20:20,123.3,126.9,17.81,5
2023-05-25 12:20:25,123.5,126.9,17.81,5
2023-05-25 12:20:30,123.3,126.9,17.81,5
2023-05-25 12:20:35,123.5,126.9,17.81,5
2023-05-25 12:20:40,123.5,126.9,17.82,5
2023-05-25 12:20:45,123.5,126.9,17.81,5
2023-05-25 12:20:50,123.3,126.9,17.81,5
2023-05-25 12:20:55,123.4,126.5,17.82,5
2023-05-25 12:21:00,123.3,126.9,17.81,5
2023-05-25 12:21:05,123.4,126.9,17.81,5
2023-05-25 12:21:10,123.3,126.9,17.81,5
2023-05-25 12:21:15,123.4,126.9,17.82,5
2023-05-25 12:21:20,123.4,126.9,17.82,5
